Movie Name,Release Date,Rating,Director,Link
Stand by Me,1986,8.1,Brian De Palma,https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt
La passion de Jeanne d'Arc,1928,8.1,"Stanley Donen, Gene Kelly",https://www.imdb.com/title/tt0045152/?ref_=adv_li_tt
Mad Max: Fury Road,2015,8.1,"Stanley Donen, Gene Kelly",https://www.imdb.com/title/tt0045152/?ref_=adv_li_tt
Rang De Basanti,2006,8.1,David Lean,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt
Platoon,1986,8.1,David Lean,https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt
Andrei Rublev,1966,8.1,Martin Scorsese,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt
Rush,2013,8.1,Martin Scorsese,https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt
Million Dollar Baby,2004,8.1,Lee Unkrich,https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt
Hachi: A Dog's Tale,2009,8.1,Lee Unkrich,https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt
Logan,2017,8.1,George Roy Hill,https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt
Barry Lyndon,1975,8.1,George Roy Hill,https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt
Ben-Hur,1959,8.1,Fritz Lang,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt
Kaze no tani no Naushika,1984,8.0,Fritz Lang,https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt
White Heat,1949,8.0,Sergio Leone,https://www.imdb.com/title/tt0059578/?ref_=adv_li_tt
Hotel Rwanda,2004,8.0,Sergio Leone,https://www.imdb.com/title/tt0059578/?ref_=adv_li_tt
Amores perros,2000,8.0,Akira Kurosawa,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt
Harry Potter and the Deathly Hallows: Part 2,2011,8.0,Akira Kurosawa,https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt
Les quatre cents coups,1959,8.0,Billy Wilder,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt
Spotlight,2015,8.0,Billy Wilder,https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt
Ace in the Hole,1951,8.0,Asghar Farhadi,https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
Dead Poets Society,1989,8.0,Asghar Farhadi,https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt
Rebecca,1940,8.0,Robert Mulligan,https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt
Rocky,1976,8.0,Robert Mulligan,https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt
"Monsters, Inc.",2001,8.0,Steven Spielberg,https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt
